MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Aug17 11:26:11 AST

DO concentration compensated for salinity: 40.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,      3.510000,     20.445000,          6.703676,                    94.404271,      0.960000"
"                1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,      3.510000,     20.420000,          6.711255,                    94.468614,      0.961000"
"                1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,      3.510000,     20.378000,          6.705236,                    94.312739,      0.960000"
"                1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,      3.510000,     20.336000,          6.706307,                    94.256655,      0.961000"
"                1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,      3.510000,     20.278000,          6.707972,                    94.181799,      0.961000"
"                1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,      3.510000,     20.186000,          6.721828,                    94.220172,      0.961000"
"                1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,      3.510000,     20.127000,          6.730564,                    94.242373,      0.961000"
"                1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,      3.510000,     20.052000,          6.734380,                    94.168295,      0.961000"
"                1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,      3.510000,     19.985000,          6.745375,                    94.207984,      0.961000"
"                1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,      3.510000,     19.918000,          6.743772,                    94.071574,      0.960000"
"                1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,      3.510000,     19.834000,          6.754553,                    94.078821,      0.960000"
"                1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,      3.510000,     19.784000,          6.762599,                    94.105583,      0.961000"
"                1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,      3.510000,     19.716000,          6.769634,                    94.087378,      0.961000"
"                1690218060,           2023-07-24 17:01:00,           2023-07-24 20:01:00,      3.510000,     19.649000,          6.785333,                    94.190932,      0.961000"
"                1690218660,           2023-07-24 17:11:00,           2023-07-24 20:11:00,      3.510000,     19.641000,          6.782875,                    94.143115,      0.961000"
"                1690219260,           2023-07-24 17:21:00,           2023-07-24 20:21:00,      3.510000,     19.582000,          6.796308,                    94.228461,      0.961000"
"                1690219860,           2023-07-24 17:31:00,           2023-07-24 20:31:00,      3.510000,     19.582000,          6.790014,                    94.141203,      0.961000"
"                1690220460,           2023-07-24 17:41:00,           2023-07-24 20:41:00,      3.510000,     19.582000,          6.790014,                    94.141203,      0.961000"
