MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-296666,,,,,,,,,
Concatenation Date: 2023Aug09 10:54:55 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,3.5,19.625,6.813114,94.254932,0.916,296666,wiper
1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,3.5,19.617,6.807493,94.163455,0.916,296666,wiper
1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,3.5,19.609,6.808973,94.170222,0.916,296666,wiper
1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,3.5,19.609,6.808184,94.159309,0.916,296666,wiper
1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,3.5,19.6,6.805707,94.109632,0.916,296666,wiper
1690218060,           2023-07-24 17:01:00,           2023-07-24 20:01:00,3.5,19.617,6.80986,94.1962,0.916,296666,wiper
1690218660,           2023-07-24 17:11:00,           2023-07-24 20:11:00,3.5,19.55,6.822454,94.255353,0.916,296666,wiper
1690219260,           2023-07-24 17:21:00,           2023-07-24 20:21:00,3.5,19.516,6.827559,94.267473,0.916,296666,wiper
1690219860,           2023-07-24 17:31:00,           2023-07-24 20:31:00,3.5,19.516,6.817303,94.125865,0.916,296666,wiper
1690220460,           2023-07-24 17:41:00,           2023-07-24 20:41:00,3.5,19.491,6.827252,94.220285,0.916,296666,wiper
1690221060,           2023-07-24 17:51:00,           2023-07-24 20:51:00,3.5,19.475,6.8239,94.146551,0.916,296666,wiper
1690221660,           2023-07-24 18:01:00,           2023-07-24 21:01:00,3.5,19.433,6.824961,94.089077,0.915,296666,wiper
1690222260,           2023-07-24 18:11:00,           2023-07-24 21:11:00,3.5,19.433,6.824172,94.078203,0.915,296666,wiper
1690222860,           2023-07-24 18:21:00,           2023-07-24 21:21:00,3.5,19.424,6.830372,94.148209,0.916,296666,wiper
1690223460,           2023-07-24 18:31:00,           2023-07-24 21:31:00,3.5,19.391,6.836276,94.172834,0.916,296666,wiper
1690224060,           2023-07-24 18:41:00,           2023-07-24 21:41:00,3.5,19.349,6.838124,94.126051,0.916,296666,wiper
1690224660,           2023-07-24 18:51:00,           2023-07-24 21:51:00,3.5,19.365,6.828068,94.015109,0.915,296666,wiper
1690225260,           2023-07-24 19:01:00,           2023-07-24 22:01:00,3.5,19.332,6.839492,94.11563,0.916,296666,wiper
1690225860,           2023-07-24 19:11:00,           2023-07-24 22:11:00,3.5,19.307,6.841549,94.100921,0.916,296666,wiper
1690226460,           2023-07-24 19:21:00,           2023-07-24 22:21:00,3.5,19.29,6.846859,94.144687,0.916,296666,wiper
1690227060,           2023-07-24 19:31:00,           2023-07-24 22:31:00,3.5,19.307,6.838394,94.057531,0.916,296666,wiper
1690227660,           2023-07-24 19:41:00,           2023-07-24 22:41:00,3.5,19.307,6.842338,94.111768,0.916,296666,wiper
1690228260,           2023-07-24 19:51:00,           2023-07-24 22:51:00,3.5,19.282,6.847549,94.140393,0.916,296666,wiper
1690228860,           2023-07-24 20:01:00,           2023-07-24 23:01:00,3.5,19.307,6.839183,94.068378,0.916,296666,wiper
1690229460,           2023-07-24 20:11:00,           2023-07-24 23:11:00,3.5,19.273,6.838763,94.004124,0.916,296666,wiper
1690230060,           2023-07-24 20:21:00,           2023-07-24 23:21:00,3.5,19.298,6.831974,93.95376,0.915,296666,wiper
1690230660,           2023-07-24 20:31:00,           2023-07-24 23:31:00,3.5,19.29,6.846859,94.144687,0.916,296666,wiper
1690231260,           2023-07-24 20:41:00,           2023-07-24 23:41:00,3.5,19.282,6.842817,94.075341,0.916,296666,wiper
1690231860,           2023-07-24 20:51:00,           2023-07-24 23:51:00,3.5,19.282,6.832565,93.934396,0.915,296666,wiper
